aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
32948-4428;1;9;2;;10;30;20;3;1;5;1;82;6;3;;13;33;67;3;7;5;12;4;20;3;44;1;4;33;9;;3;18;8;6;1;;2;5;2;2;1;30;1;11;1;1;;2;5;;1;;6;;2;8;;4;;1;;4;;1;;2;;5;2;2;1;7;1;2;;;;;6;3;;;8;6;1;;21;2;2;2;;;;3;1;13;2;2;;2;3;9;4;2;1;;;2;2;2;;3;2;2;3;1;1;1;2;;2;6;6;;2;5;;19;5;4;2;1;13;4;7;3;1;4;2;
32933-4428;1;3;;;;;;;1;2;;20;2;1;;4;5;17;7;3;3;5;3;6;;24;3;1;7;;;;;;;;;1;;;;;1;;;;;;;;;;2;2;;;6;;1;1;;;2;;;;1;;3;;;;4;;3;1;;;1;1;;;;;;;;1;;;1;1;;;;;4;1;;2;;3;3;2;;1;5;;1;1;1;;2;1;1;1;;;1;;;;1;2;1;1;;;10;;8;3;;3;2;;3;3;;;
31306-4429;1;6;3;;1;;3;1;1;1;;78;3;15;2;2;26;58;7;6;6;9;4;10;1;41;2;1;4;1;1;1;;;1;1;1;1;1;1;3;;16;1;4;;;;2;1;;1;2;2;1;1;17;;1;;;1;3;1;5;;10;;1;;;;4;;;;;;2;12;9;2;;;5;2;1;17;;;3;;;;6;5;5;;2;2;;1;2;2;;3;4;1;6;4;;;2;;;4;2;;2;1;;;6;;;;;;4;;;;;2;1;1;;;1;1;
10546-4428;;6;;1;;;;;;1;;49;3;4;1;8;14;39;2;5;5;6;4;14;2;36;;;13;5;3;;;;;;;1;;1;;;11;;2;;;;;2;;;;4;1;;7;1;;;;2;3;1;;;4;;3;;;;11;;8;5;3;2;1;2;2;;2;;1;;;8;;;4;3;3;1;1;1;7;1;1;1;1;4;2;;2;;;;;;2;1;2;2;;2;1;2;1;4;;2;3;;1;;5;;10;2;3;1;;7;1;2;1;1;3;3;
31400-4224;;11;;;2;22;7;;1;6;;83;3;8;1;;41;64;;4;4;5;3;14;;58;;;6;;1;2;10;5;1;;;5;4;2;5;;30;1;15;;6;3;1;;;1;;4;;;18;;4;1;;;3;1;4;1;4;;;6;2;2;18;3;8;4;2;1;3;5;2;1;2;3;3;;1;31;1;1;11;6;2;1;3;1;5;2;;;2;;2;;2;;;;1;1;1;1;2;1;2;2;;1;1;3;3;1;3;;1;;1;1;11;;4;1;;;;5;;;;;
35729-4912;1;13;1;;2;13;7;;1;14;;148;5;22;;;126;116;7;5;5;9;4;24;1;46;;1;4;;2;;2;1;2;;2;7;3;9;7;1;44;4;20;2;10;6;1;2;1;1;1;11;2;3;11;2;3;1;;;5;1;14;2;8;;;20;6;2;55;9;30;21;16;12;2;10;2;;2;;8;2;;57;7;2;24;15;11;10;4;;13;5;2;2;2;2;2;;1;2;1;1;1;1;2;1;3;1;2;1;1;;1;8;4;1;3;2;;;5;1;5;2;2;;1;;;2;1;;;;
28391-4428;;;;;;;2;;1;1;;30;5;3;;1;12;18;;8;8;11;6;14;;16;;;5;;;;;;;1;;;1;1;2;1;9;1;3;1;;;;;;3;;6;1;;7;1;3;1;;;4;2;1;1;2;;;5;1;;3;;;;;;;3;3;;;;4;3;;9;4;1;2;;;;2;1;;;;;;;5;1;3;;;;1;;4;2;6;4;5;2;1;2;2;3;1;1;5;3;2;;1;1;5;;1;;2;1;;3;;;;;
30886-4429;1;12;;;3;2;7;1;1;4;1;51;3;6;3;;30;58;4;6;6;19;5;18;1;45;;1;11;1;;2;;;3;;1;;2;;;;26;2;9;;6;3;1;4;2;1;;;;;7;;1;;;;3;2;;;6;1;;2;2;2;13;1;9;4;4;3;2;9;4;;1;3;7;3;1;19;1;1;8;5;1;1;4;2;11;2;1;1;;5;5;;4;1;1;;2;2;2;1;4;2;5;2;2;;2;4;2;2;5;2;;;6;1;7;1;3;;3;;;6;1;1;;1;
31313-4224;1;5;1;;1;9;4;;1;5;;89;3;10;5;;42;72;3;6;6;14;7;22;2;37;1;1;11;;2;1;;;1;;1;3;1;2;;;28;;10;;3;3;3;2;2;;;13;;2;14;1;6;1;;;3;1;4;;6;3;;8;;;19;2;11;4;3;2;4;15;10;2;1;2;6;1;;35;3;;17;10;4;3;10;7;6;3;;1;1;2;2;;1;1;3;3;2;1;3;1;5;3;2;2;4;1;2;6;2;1;5;5;2;;6;4;10;3;2;1;1;;;3;4;3;;;
31697-4428;1;4;;1;;1;7;;1;5;3;61;3;6;5;4;33;52;3;4;3;4;2;11;;39;;1;13;1;1;;;;;1;;;1;2;;;23;;14;2;3;2;;1;;3;;5;1;2;11;1;2;1;3;;3;1;2;;4;1;;2;;;4;;2;;;;1;3;;;1;2;6;4;;23;2;;3;2;;;2;;4;;;;2;2;4;1;;;1;;;;;3;3;;;;;;1;3;1;2;4;;2;;4;;5;1;1;;5;2;;1;6;5;;;
31774-4224;1;23;1;3;8;5;21;11;1;7;6;148;3;5;;84;40;109;3;3;2;7;1;18;1;61;3;1;90;3;3;6;1;;7;1;2;11;8;2;5;1;64;5;9;2;;;;8;2;26;1;7;2;1;13;1;3;1;1;2;3;;1;;4;;34;17;5;;6;3;3;;;;;1;;;1;3;16;3;2;20;5;2;3;2;;;;;8;2;;;1;1;47;41;1;1;;;1;1;;;1;;1;1;2;;;4;1;3;2;3;;;7;4;13;3;2;;10;79;32;1;11;1;2;3;
14874-6547;1;5;1;1;;2;3;;1;2;;36;3;10;1;1;33;38;3;4;4;33;4;9;;54;;1;1;;;;1;1;;1;;;1;;;;7;;5;;2;1;1;;;;;1;;;18;2;1;;;;3;3;6;;4;1;;1;;;9;;5;2;1;;;5;3;;1;1;2;;;20;;;7;4;2;1;1;1;3;2;;2;;3;1;1;;3;;;2;1;;1;1;;6;4;1;3;1;1;1;2;1;;;1;5;3;4;;;;;1;;;;;;;
28589-4428;;3;1;;;;;1;;1;;33;2;1;;;6;17;1;3;3;3;2;12;;9;;;3;1;;;;;;;1;;;;2;;4;;;;;;;1;;;;1;;;5;1;2;1;;;2;;;;1;;;;;;2;;1;1;;;;;;;;;2;;1;2;;;1;1;1;;;;3;1;1;1;;1;2;;1;1;;;1;;1;1;2;1;1;;1;;1;4;;1;2;;2;;2;;4;1;3;1;;;;2;;;;;
31369-4429;1;17;19;1;1;1;9;7;1;6;2;125;3;3;4;3;39;70;17;8;8;11;8;26;6;67;8;1;16;4;5;;;;;1;2;1;1;6;17;7;37;3;12;5;4;;2;1;;2;8;7;3;1;42;5;10;1;4;1;3;2;;;2;2;;18;5;1;12;1;4;1;;;4;9;6;;1;1;13;4;4;30;13;2;10;3;;;4;3;5;;2;2;1;4;6;;2;1;14;7;2;;2;1;4;2;3;3;1;4;1;11;3;;6;1;1;4;7;;16;2;2;;2;2;;3;2;1;2;1;
30639-5102;1;9;1;;;;8;5;1;3;;107;4;5;4;1;53;76;4;4;4;6;3;19;3;56;5;1;4;7;;;;;;1;;5;1;1;10;5;39;;20;;10;4;1;4;2;;1;8;;3;16;2;2;;;2;4;4;2;;3;4;1;3;;;27;1;13;9;4;1;5;9;;;6;1;3;;;41;2;;18;9;7;3;4;;12;5;3;1;4;5;1;;;;2;;;;2;2;2;;;;1;;;4;;3;4;1;1;1;7;2;9;;3;1;2;1;1;1;;;2;2;
31529-4224;1;13;;;1;;3;;2;12;;75;4;7;;;22;41;;3;3;13;2;11;;59;;1;7;1;1;;;;;1;1;6;;6;3;;10;1;2;;1;;;;;1;;2;;;19;1;8;1;;;4;3;2;;5;;;;;;10;;3;1;;;2;4;;;;;2;;1;12;;;6;3;1;;1;;2;1;;;;3;5;;4;;;;;;2;;1;1;1;;1;;1;;;3;2;3;1;2;3;;12;2;3;1;;;;4;1;1;;;
32892-4912;1;6;;;;;;;1;4;;19;3;10;6;;25;32;;3;3;5;2;7;;10;;2;1;;;;;;;1;;1;;;2;1;10;;5;;2;;;;;;;2;;1;1;;;;;;3;3;3;;7;5;;1;;;9;1;3;3;2;;;1;1;;2;;;;;13;;;4;1;1;1;;;1;1;;;;1;;;;;;;1;;;;1;;1;1;1;1;;2;;2;3;;1;;2;2;;;;;;;;;;;;;
31243-4224;3;9;;1;2;7;4;3;3;10;1;139;5;4;3;2;24;52;5;6;5;12;3;18;1;56;1;3;12;4;3;2;2;;2;3;;4;2;6;10;3;25;10;9;3;2;1;3;1;;2;3;6;;3;25;;9;5;5;1;5;2;;;4;3;;9;1;1;4;1;2;;;;;10;7;4;;;15;5;2;20;7;1;4;2;;;7;5;4;;;;;;4;;1;1;4;2;1;1;;2;3;;2;3;;1;;6;1;;6;2;;;3;1;14;1;6;1;5;1;;1;;;1;;
31216-4224;1;12;;3;1;;3;;1;7;2;71;3;9;2;7;29;41;1;5;5;9;6;17;1;38;;1;23;5;2;;;;1;1;1;6;;4;1;;17;;4;2;1;1;;3;1;2;;7;;3;9;;7;2;;2;3;3;4;2;5;;1;6;1;;8;;4;3;3;2;;1;1;;2;;1;;;11;3;;3;1;1;1;1;1;7;1;4;;;2;5;;3;;;;;;2;2;2;1;1;1;1;1;2;5;1;;3;3;2;2;2;;14;1;4;2;4;6;1;4;9;5;2;4;
35958-5786;;1;;;;;1;;1;6;;35;1;3;;;5;18;2;4;4;4;4;11;;17;;;1;;;;;;;;;1;;3;1;;6;1;2;;1;1;;1;;;1;4;;1;6;2;2;2;;;1;;;;3;;;2;;;3;1;2;2;2;2;;;;;;;4;;;3;1;;2;2;2;2;;;1;;;;;1;1;;;;1;1;1;;3;;1;1;;;2;1;1;1;1;;4;;1;;4;1;6;1;2;1;;;;;;;;;
32018-4428;1;7;;;;;1;;1;4;;52;3;10;;;28;45;;4;4;8;4;12;;49;;1;15;3;1;;;;;1;;4;;2;8;1;12;1;3;;1;1;;;;1;;4;1;2;9;;4;1;3;1;3;2;3;;7;;;2;;;8;;6;3;2;1;2;3;1;;;3;5;;;14;2;;5;5;2;1;1;;3;1;1;;2;2;1;;;;;;3;1;;1;2;;1;1;2;;1;1;1;1;4;;2;1;4;1;18;2;6;2;3;;;2;4;1;1;2;
35500-4912;1;6;;;1;1;4;;1;11;;118;2;22;3;;66;97;1;8;7;9;7;17;;41;1;1;8;3;1;1;;;;1;;2;1;7;11;3;50;;25;;7;1;2;4;;;;3;;;11;;1;;;1;2;1;12;2;10;3;;4;;;21;;7;3;1;;3;12;6;;2;;5;1;;45;1;;15;5;2;1;2;1;12;3;2;1;2;2;2;;1;1;;;2;2;1;3;4;1;2;4;2;1;1;4;2;;6;1;1;;1;;3;;2;;1;;;2;3;;3;2;
31520-4429;1;5;1;;2;2;7;1;1;6;1;104;3;4;;1;26;62;1;5;5;11;3;13;;30;3;1;2;1;1;1;;;2;1;3;5;4;2;2;;22;5;4;;;;1;;;;1;4;3;1;11;;1;;1;1;3;;1;;3;;;3;;;;;;;;;;8;4;1;;;8;2;1;19;3;;;;;;6;4;5;2;;;;;;;;;;;5;3;;;1;;1;3;2;;2;5;2;;2;2;;2;1;;4;;1;1;;;;;;;;1;
33958-5102;1;7;1;;;;1;;1;2;;61;4;5;;;27;31;7;3;3;8;2;10;;37;;1;2;1;2;;;;;1;1;2;1;1;4;1;10;1;4;;1;1;2;;;;4;2;1;1;20;2;4;1;;1;4;3;2;1;3;;;6;1;;10;1;7;4;2;1;;6;5;5;;1;5;;2;17;4;;5;4;1;;5;5;;;;2;;;1;;1;;5;4;2;1;;1;1;;;1;1;1;;4;;;3;3;;1;5;5;7;1;1;;;;;1;;;;1;
29192-4224;;9;;;;;;;1;1;;41;2;3;;;6;26;1;10;10;12;8;21;1;13;;;1;;;;;;;1;;5;;;1;;12;;1;;;;1;2;1;;;5;;3;1;;1;;;;2;1;;;3;;;1;1;;1;;1;;;;;1;;;1;;1;;;5;1;1;1;1;;;1;;4;1;;1;1;2;;;;;;;5;3;1;3;3;1;1;5;1;4;3;3;1;3;10;2;1;;1;;3;1;;;;;;;;;;;
32369-4912;2;9;;;;21;7;;1;5;;70;2;10;;6;13;41;1;3;3;5;2;7;;27;;2;14;1;2;;13;5;;1;1;3;4;2;4;;24;2;4;;;;1;5;3;4;;1;;1;10;1;1;;;1;2;;5;2;5;;1;4;2;1;2;1;1;;;;;1;;;;;5;1;;9;1;;;;;;1;;6;3;1;;1;;9;3;2;1;;;1;;;1;2;;;;;1;;1;;;3;2;;1;1;1;4;;1;;5;6;1;2;;;1;1;
24701-4429;1;13;1;;;60;14;1;1;9;1;164;3;24;1;12;129;150;1;4;3;5;6;26;1;52;2;1;21;2;;;19;8;;1;1;5;5;6;1;;82;;38;;27;9;2;20;11;9;;12;;1;16;1;3;;;1;3;;10;;14;1;2;10;2;;75;8;31;16;9;6;4;9;4;1;4;6;3;;;82;1;;51;20;9;6;4;2;30;19;6;;;9;13;10;3;;1;;;;1;2;2;1;1;1;;1;1;3;;3;4;;2;1;8;2;8;;;;1;11;2;5;2;;1;1;
32045-4224;1;6;2;2;;1;7;;1;5;;85;;4;;2;10;35;9;8;8;23;6;23;3;40;;1;13;2;1;;;;;;2;3;5;2;8;;13;3;1;;;;;;;;4;6;4;1;9;;4;2;3;;;;1;;3;;1;4;1;;1;1;1;;;;;2;1;1;;1;8;1;1;5;2;1;;;;;1;1;1;;1;3;;;2;;;2;6;1;2;1;4;2;6;4;5;2;1;1;2;11;3;;6;2;;2;1;;9;;4;3;5;;;;;;1;;
31872-4428;1;12;7;;1;;1;1;1;3;;78;2;5;;;15;36;9;4;4;5;3;7;2;50;2;1;9;;2;1;;;1;1;1;7;1;1;2;;13;4;6;2;;;1;;;;2;3;1;3;25;1;3;;9;;2;;1;;4;;;3;1;;;;;;;;;7;4;3;;;9;2;2;12;3;1;;;;;5;3;1;;;2;;;;;;2;5;3;2;;2;;2;2;2;;1;1;1;5;1;;3;;;;2;1;6;;1;;5;;;;;;;;
31833-4224;1;7;;2;7;;8;;1;8;1;84;3;6;2;3;53;77;3;4;3;10;2;20;;64;;1;9;5;2;4;;;3;1;1;1;2;4;3;1;29;1;9;1;6;1;1;3;1;3;;8;;;14;2;2;;2;1;3;2;1;;5;;;6;5;1;31;3;18;9;6;4;6;9;1;;1;2;5;;2;28;2;1;19;8;5;2;3;;11;2;5;1;3;4;4;1;2;2;1;1;1;;1;1;1;;1;;;1;;1;;6;4;2;;1;7;2;15;;3;2;1;3;;4;;;1;2;
22435-6547;1;9;2;;;;1;;1;3;;42;1;3;;;13;23;;1;1;1;1;8;;21;;1;2;;1;;;;;1;;5;1;;3;;12;;7;1;5;2;1;;;;;4;1;1;5;;2;1;;;1;1;2;2;1;;;6;2;;7;2;3;1;;;;2;1;;;;1;;;10;2;1;6;2;1;;1;1;1;;;;;3;1;;;;;;;;;1;1;;;;;;;1;1;;1;;;;1;1;5;;2;1;;;;1;2;;;;
30822-4428;1;7;;;;10;7;;1;12;;93;5;8;2;4;72;77;16;3;3;12;2;18;2;40;2;1;25;3;;;2;;;;1;1;2;6;4;;22;;13;1;6;3;1;3;;1;4;10;3;2;17;2;2;1;;1;4;1;3;;5;1;1;8;3;;20;3;8;3;2;2;8;20;9;3;;11;6;1;;36;4;2;16;7;3;2;7;4;5;;1;8;;1;5;;5;5;9;5;2;1;1;;1;1;2;1;2;;;3;;3;3;3;2;;4;2;6;1;2;1;4;4;1;5;9;5;;;
33173-4224;;2;3;;;;3;2;1;7;1;43;2;4;;1;10;20;2;3;3;16;2;9;2;19;;;5;2;1;;;;;1;;1;2;4;3;2;11;;3;2;1;;;;;;;4;1;2;6;;;;;2;2;1;1;;3;;;5;;;4;2;4;2;1;1;;2;1;;;;;;;6;3;;1;;;;1;;;;;;1;;2;1;;1;;;;;2;1;3;2;6;;1;;;5;1;1;3;;;;1;;2;1;;;;1;;;1;1;;1;
21853-6019;;9;;2;;;3;;1;6;;58;2;3;;2;15;30;6;4;3;5;4;11;;26;;;15;6;1;;;;;;1;4;3;4;1;;16;3;9;2;3;2;;2;;1;;3;;;8;;1;1;3;3;2;1;1;;2;;1;2;2;1;7;;6;1;1;;1;1;;;;1;6;1;1;13;2;2;5;4;1;1;;;4;;1;2;;1;3;;2;2;3;;1;;;1;1;;;1;1;2;1;1;1;;4;1;;;1;1;4;1;1;;4;1;;2;2;;4;1;
30705-4429;1;7;1;;2;;3;1;1;10;;73;3;5;;5;12;37;;6;6;14;8;19;6;35;3;1;10;3;;2;;;2;;1;4;1;4;2;;8;;1;;;;1;1;;;;7;;3;8;;2;;;3;3;;;;5;;1;;;;4;;2;;;;;1;;;1;;3;;;3;;;;;;;1;;3;;2;;;4;4;3;1;;;;1;1;3;2;5;3;1;1;1;;3;4;;1;6;2;;;4;;11;3;3;1;;5;1;1;;;2;2;
32040-4428;1;12;11;;;2;3;1;1;5;1;81;2;5;;1;20;34;3;8;8;11;7;20;7;68;3;1;11;3;;;;;;1;1;5;;2;6;4;11;1;3;;2;1;1;;;;;2;;;17;1;4;1;2;1;2;1;3;1;2;;;4;1;1;5;1;1;;;;;4;3;3;;1;1;;;16;2;;5;1;;;3;3;2;;;1;;1;2;;;2;;;3;;1;2;4;1;1;2;3;3;;4;;;2;3;;;5;2;15;2;6;;3;;;1;3;1;1;;
31510-4428;1;3;;1;;;;;1;3;1;49;5;6;;22;2;38;2;6;6;17;4;12;1;34;1;1;23;;;;;;;;1;1;;2;2;;13;;;;;;;;;2;1;4;2;1;9;1;4;1;;;5;;;;6;;5;;;;;;;;;;;;;;;;5;1;1;;;;;;;;;;2;;;;;2;10;9;;1;;;;;3;2;5;2;4;;;;1;3;1;;5;;;1;4;;14;1;8;4;;20;4;;2;;;;
31602-4224;;5;;;1;1;6;2;1;5;;47;2;5;;;23;38;3;5;5;8;3;16;;7;;;6;;;;;;1;1;;1;3;5;2;;15;;8;1;1;1;;1;1;1;2;6;1;2;3;;1;;;;2;1;2;;3;;;2;;;7;1;2;2;1;;1;2;2;;;2;4;1;;16;1;;5;2;2;1;1;1;3;1;;1;;;1;;;;3;2;2;2;1;;2;1;1;2;1;;1;4;1;2;5;2;2;;;;2;;1;;;;;3;3;1;;;
31647-4224;;3;1;;;3;5;;1;1;;39;6;7;;6;15;37;;3;3;13;2;14;1;45;;;9;;;;1;1;;1;;3;3;;4;;10;;3;1;;;;3;;1;;4;;1;13;1;2;;;;6;2;2;;5;;1;1;;;7;;3;3;;;;1;;;2;2;7;3;2;9;1;;4;1;1;;;;8;1;2;;1;3;4;1;;;;;1;1;;2;1;;1;2;;1;1;;;3;3;5;;;3;;11;1;4;1;;6;1;1;1;;;;
31166-4429;2;7;;;8;2;10;;1;2;;97;5;9;;;39;72;5;6;6;6;4;14;;57;;2;2;;2;5;;;7;1;2;3;7;2;1;1;40;12;20;7;;;3;;;;;4;1;1;21;2;;;;;5;2;4;2;5;;;13;9;5;1;;;;;;1;15;13;8;;1;21;8;6;35;12;8;;;;;13;12;3;;;1;;1;1;;;2;3;1;4;2;2;;2;2;;2;2;;1;7;5;;5;;2;;2;1;5;;2;1;2;;;;;;;;
31690-4428;1;6;;;;;3;;1;4;;38;4;4;;3;27;32;;5;4;4;3;20;;27;;1;15;2;1;;;;;1;;1;2;2;3;2;10;1;3;;1;;1;1;1;1;;5;1;;5;;4;2;;1;4;4;3;;1;;;;;;11;;5;5;4;2;3;4;4;;2;7;1;;;19;;;7;4;4;3;2;2;3;1;;;2;1;2;;2;;;;2;1;2;;1;1;;1;1;;2;5;;4;5;;3;;1;;10;;5;1;1;3;;6;2;1;;1;
22450-4429;1;7;;1;1;;2;;1;4;;36;2;4;1;;16;40;;5;4;23;3;13;;21;;1;34;1;;;;;;1;;1;1;;1;;5;;;;;;;1;;;;;;;3;;1;1;2;;1;1;;;4;1;;;;;6;;3;1;1;1;;;;;;1;;;;7;;;2;1;1;1;;;3;1;;;1;1;5;;2;;;;;;2;;2;1;;;2;;1;;;2;2;1;;;2;1;8;;3;;1;;;4;12;6;1;1;
32124-4429;1;4;1;;;;1;;1;1;;20;3;2;;6;4;14;1;3;3;3;2;6;;24;;1;10;1;;;;;;1;1;1;;1;;;6;;;;;;;;;2;;;;;4;;1;;;;3;;;;2;;1;1;;;1;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;5;3;;1;;;;;2;1;3;2;2;;1;;;2;1;;2;;1;;;;3;;1;;2;6;1;;2;1;1;1;
31888-4428;1;10;5;1;;4;2;;2;12;1;64;4;6;;6;10;30;4;5;5;11;4;15;3;33;;1;17;9;3;;1;;;2;1;5;2;9;7;;11;2;1;;;;1;;;2;1;4;3;1;13;1;;;1;8;4;;2;;4;;;1;1;;3;1;;;;;1;2;;;;;7;;;5;;;1;;;;1;;1;;1;3;;1;7;4;1;1;2;;2;2;1;;3;1;2;2;1;;2;8;4;;4;1;;2;1;1;2;;;;6;6;;1;2;;6;7;
31612-4224;2;10;;;;7;11;;1;6;1;126;3;9;1;3;38;71;3;4;4;8;3;20;1;64;;2;16;4;1;;3;3;;1;2;4;7;3;15;6;42;8;9;2;5;1;2;4;3;5;1;9;3;1;24;1;2;;2;2;3;;4;;5;1;1;12;4;3;12;3;2;1;;;1;7;2;;1;2;11;5;1;22;6;3;7;1;;;2;1;9;5;;1;;2;8;1;4;2;1;1;;;2;;3;1;1;1;1;;1;5;2;2;3;4;;;5;1;11;1;2;1;4;3;1;6;2;;2;;
31740-4428;1;5;;3;1;;2;;1;11;;107;3;6;;1;33;75;3;6;4;8;3;21;2;91;4;1;16;9;;;;;1;1;1;3;;5;1;;29;;3;;1;1;;2;;;2;6;;2;15;;3;1;4;5;3;2;1;;5;;;;;;10;;4;2;1;;1;3;;;2;;2;1;;16;;;5;2;1;1;2;;13;2;2;;3;8;2;;;;1;1;1;1;2;1;2;1;;1;1;;1;4;1;3;4;4;1;2;4;;18;2;4;1;2;;;;5;;6;7;
13483-6547;1;8;;;;;2;;1;2;;59;3;9;3;;53;64;3;3;3;5;3;9;;47;1;2;5;1;1;;;;;1;;3;;2;3;2;30;1;20;;2;1;3;1;;;;2;1;;16;1;1;;;1;3;3;7;;1;3;;1;1;1;11;;5;3;1;;4;19;14;6;1;2;6;1;1;43;1;1;10;3;2;1;11;8;3;2;;1;;3;1;;1;;2;2;1;1;1;1;;;;2;;1;1;4;2;1;3;1;;3;3;1;8;1;2;1;;;;2;2;1;;1;
27699-4912;1;7;;;2;;3;;1;10;;162;6;28;10;;93;130;1;5;5;16;6;19;1;25;;1;12;3;1;2;;;2;1;2;4;2;8;17;4;90;11;43;12;5;;4;21;7;4;;12;1;3;6;;1;;1;2;6;4;22;14;6;3;;47;15;9;20;7;4;2;;;1;9;2;;2;2;40;14;1;64;21;6;11;2;2;;6;2;31;9;6;1;1;3;6;;1;;;;1;1;3;1;4;3;4;1;;;2;2;2;2;5;7;;;2;;8;;3;2;2;;;2;;;1;2;
30769-4429;1;7;5;1;3;13;13;7;2;5;1;102;3;2;2;8;41;61;;4;4;7;4;13;;29;;1;21;2;1;2;3;1;2;2;1;4;4;3;1;;38;1;12;;2;;;2;2;7;;7;1;1;13;;;;1;;3;2;;;2;;1;6;3;2;12;1;4;3;1;;;2;1;;;4;4;;1;24;3;2;7;2;1;1;1;;5;4;1;;;1;7;3;4;;;;2;2;1;;2;1;;2;;;3;4;2;2;3;1;1;;;;3;;1;;4;8;1;5;6;3;2;2;
30790-4224;1;2;;;;;2;;1;1;;44;3;3;1;;10;25;;3;3;16;2;8;1;37;;1;4;;;;;;;1;1;1;;;2;;12;;2;;;;;1;;;;;;;10;1;2;;1;;2;1;;;3;;;2;;;4;;3;1;1;;;2;1;;;;2;1;1;4;1;;;;;;2;1;1;;;;1;3;2;;1;;;;;;2;;3;2;3;;1;;1;1;;1;2;1;1;;2;;14;;2;;;;;3;1;1;;;
30988-4224;1;2;1;4;6;5;13;3;1;5;3;56;3;7;3;10;31;38;13;5;5;6;3;9;;46;2;1;20;6;1;;1;;6;1;;1;7;2;1;;9;;3;;1;;;;;1;6;3;;2;12;;6;1;1;1;3;1;2;1;5;1;1;2;;;10;;3;1;1;1;1;2;1;;;1;5;;;14;;;5;2;1;1;;;3;;1;3;;1;6;4;;3;8;4;2;;2;1;3;2;2;1;2;1;;4;1;;2;;3;;1;;12;1;1;1;2;8;;2;3;2;3;1;
31493-4224;1;9;1;5;;22;4;;1;7;4;87;8;20;1;10;57;88;8;4;4;9;3;15;;21;;1;21;3;2;;7;5;;;1;4;;3;1;;40;6;18;4;2;;2;3;2;2;2;7;2;;3;;1;;6;;8;4;13;1;7;1;4;14;9;5;15;4;8;3;2;;5;13;5;3;;8;12;5;2;34;5;5;9;3;1;1;5;3;6;3;1;2;;1;6;1;2;3;4;2;2;1;1;;1;1;;1;1;1;;3;3;;3;3;;;1;;3;;1;1;3;7;1;4;3;;;;
30982-4224;1;9;2;;;;;;1;1;1;78;3;8;4;1;57;69;17;6;6;9;5;15;;28;4;2;5;;2;;;;;1;;5;;;9;2;31;3;14;1;6;1;3;1;1;1;4;3;1;;12;1;4;2;;;3;2;4;3;4;3;;8;1;1;30;3;11;8;5;2;4;11;8;2;1;2;4;;;36;1;;19;8;5;3;6;4;7;2;1;4;;;3;;1;6;10;5;2;2;2;2;3;1;1;2;1;;2;5;3;;6;;1;2;2;;8;1;3;1;1;1;;3;2;;;;
30786-4912;1;5;;;7;11;8;;1;15;;112;3;3;;2;24;72;;3;3;10;3;12;1;46;;1;11;2;4;7;2;1;7;1;9;2;5;13;32;9;51;25;15;10;4;2;2;4;1;3;;5;;2;26;3;4;2;;1;3;;;;3;;;16;5;3;7;5;4;2;1;1;1;3;1;;1;2;37;6;5;20;12;4;6;3;2;1;2;1;8;3;2;;3;1;5;;4;;;;1;1;;2;2;;2;2;;1;;4;2;;3;4;2;1;6;1;10;;4;1;3;2;;4;1;1;;1;
31370-4224;1;10;4;1;6;;7;5;1;6;21;101;5;8;;32;37;71;20;3;3;4;2;18;5;54;2;1;52;3;2;5;;;4;1;1;5;2;3;8;;35;8;7;1;2;1;2;4;1;8;3;8;3;;26;3;10;3;20;1;5;1;4;;4;;4;8;2;1;5;2;3;;;;;14;1;;;2;13;2;4;14;4;1;2;1;;;3;1;6;1;;6;;;27;27;;3;15;3;1;;1;;2;1;1;1;1;1;;7;2;;3;2;1;;6;1;19;1;7;3;3;32;3;;;;;1;
