aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;47>;48>;49>;6>6>;14>8>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>48>;17>30>;17>30>31>;17>31>;28>30>;29>14>;29>30>;29>48>;29>48>29>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>33>;38>36>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
30993-4224;;;2;1;;;32;3;3;1;1;16;23;1;1;1;3;1;3;18;;;2;;;;;;8;;2;;2;;;1;;1;;;1;1;1;3;;;;;;3;1;1;1;2;;1;1;;;1;1;3;;;5;1;1;1;1;1;;1;1;;;1;;;;;;;;;;3;;;;10;;;4;1;1;1;;;;;2;;;;2;2;1;;;;1;;;;1;1;1;;;;1;;;;1;;;2;;;;;;;1;;;1;1;;;;;;;;
31488-4224;;;3;;;3;38;3;1;;3;12;28;2;1;1;7;1;3;15;;;6;6;;;;;14;4;3;1;;;1;;;;1;1;;;1;11;;2;1;;3;3;1;;;;;1;;1;;1;;1;;;;;;;;;;;;;;3;;2;;1;;;;;;5;;;1;7;1;;;;;;3;2;1;;1;;;2;;3;3;;2;1;;;;;1;;;;;;;1;;1;;2;;2;1;1;;3;;;3;1;;1;;;;;;3;3;;
31142-5786;;;;;3;;14;1;1;;;2;5;;2;2;2;2;2;4;;;2;;;;1;;;;;;;;;;;;;;;;1;2;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;1;1;1;1;1;;1;;;;;2;;1;;1;1;;;;;;;;;;;;;;;;;;
10461-4428;;;;;;;42;3;1;1;;16;34;2;2;2;2;3;5;28;;;3;;;;4;2;17;;6;1;1;1;;1;;1;;;;;1;10;1;2;;;;3;;3;;;;1;1;;;;;2;;;8;1;6;3;3;2;;;1;;;5;;3;3;;;;2;2;1;2;;;;13;1;;6;6;3;3;1;1;;1;4;1;;;2;1;;1;1;;1;;2;2;;;;;2;;1;1;;2;;4;;6;2;1;;;;;;;;;;2;1;1;;;;;
31155-4429;;;;;;3;35;2;2;;2;9;18;;1;1;2;1;4;13;;1;9;6;;;5;2;8;;1;1;;;;1;;;1;;;;1;4;;1;;1;6;2;;1;1;;;2;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;1;;3;;;1;3;2;1;;;;;;;;;1;;;;;2;;1;;;;;;;;;;;1;1;;1;;1;1;4;1;5;3;4;;3;3;1;;;;;;1;;;;;5;;
31524-4429;1;10;2;3;;;25;5;2;;1;11;20;6;2;2;3;2;5;15;;;2;1;6;3;2;1;7;1;3;1;1;;;1;;;;;;;1;6;1;;;;1;5;;3;;1;;1;;;1;;;3;1;1;1;;;;;;;;;;;;;;;;;;;;;2;;;;6;1;1;1;;;;;;;;1;;;2;;1;1;;2;1;;;1;1;1;;;;1;;1;2;1;2;;2;;1;1;;;;;;1;;1;;;;;;;1;;;
31549-4428;2;;;;;;36;6;2;3;30;10;46;4;2;2;3;2;7;24;1;10;43;1;;;2;2;21;1;;;;;;5;;;7;7;;;;9;;4;2;1;;5;;;2;1;;;3;2;5;16;16;2;2;;3;1;1;1;;;;;;;;;;;;;;;;2;;2;1;;1;1;;;;;;;;;;1;11;;1;2;;21;19;;;;1;;;;2;2;2;;;;1;;;2;1;3;;11;1;6;4;;1;;29;2;3;16;16;;;5;;;;;
30594-4428;;;;;;;23;2;4;;;8;16;3;;;;;1;16;1;;1;1;;;1;1;6;1;1;;;;;1;;;;;;;1;8;;3;1;;1;2;;1;;2;;2;;;;;;1;1;;2;;1;1;;;;;;;;1;;;;;;2;;;;1;;;;6;1;1;2;1;1;;1;;;;2;;;1;;1;;1;;;3;2;;;;;;;;;;1;;;;;;3;;1;;;;;;;;;;1;;;;1;;1;
31760-4428;1;;;;;1;47;5;3;2;1;26;37;1;1;1;1;1;4;35;;1;14;1;;;4;1;19;;7;3;;;1;3;;1;2;;;;;14;1;4;;;;5;1;1;1;2;;1;2;;;;;7;2;2;8;;4;3;3;2;2;1;1;1;;3;;2;2;;;;;4;2;4;4;1;;13;4;1;2;2;1;1;2;1;;1;5;1;2;;3;7;;4;1;1;;;;;;1;;;1;;;1;1;1;;4;1;11;;2;;;;;1;;;;;8;4;6;4;1;1;1;
31133-4429;;3;1;;;;41;4;3;;;19;44;11;2;2;21;2;4;16;;;12;;;;4;1;14;;2;;1;;;4;;;;;8;8;;2;;;;2;;4;1;1;1;2;;1;;;;;;2;1;;8;1;2;;;;;;;;;;;;;;;;;;;2;;;;13;;;6;2;;;;;;;7;3;1;;1;3;;;1;;10;2;1;;1;;;3;;1;;1;;1;;2;1;1;1;;;;2;;;;;;;1;;3;;;;;
31469-4224;;2;6;2;;;59;4;1;1;;49;50;3;1;1;3;1;5;31;2;;13;2;;1;6;3;20;3;5;;;;4;2;1;1;2;;1;;3;10;1;2;;2;1;4;;4;;;;1;1;;;;;6;2;;14;2;9;7;6;6;5;;2;1;2;11;5;4;1;1;;;;2;1;8;4;1;1;27;2;2;6;4;2;1;7;1;1;;6;2;1;;3;6;;3;;;1;;1;;;;;;;1;;1;1;;1;6;3;7;;1;;;1;;;;;;;7;2;;;1;;;
31677-4224;;;1;;;;24;3;1;1;3;4;24;;1;1;1;1;4;11;;;5;;;;2;1;13;3;2;;;;;;;1;1;1;;;2;5;;1;;;;3;2;;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;3;2;;;;;;;;;;;;;;;1;3;3;;;;;;1;;;;;;;1;;2;;1;;1;;2;;1;;;;;3;1;;1;1;;;;;;;;
27959-4912;;;;;2;;15;2;1;;;6;11;;2;2;2;2;4;7;;;;;;;;;7;1;4;1;1;;;;;1;;;;;1;3;1;;;;;2;;;;;;1;;;;;;2;2;;1;;;;;;;;;;;;;;;;;;1;;;2;;;;4;1;1;1;;;;;;;;3;;;;1;;;;;;;;1;1;1;1;1;1;1;;2;1;;2;;2;;;;;;;;;;;;;;;;;;;;;
29683-6547;;;;3;3;;29;3;1;1;;9;25;10;2;2;6;2;7;12;3;;10;1;;3;5;;6;1;1;;;;1;1;;;1;;3;2;1;4;;1;1;;1;3;1;;2;;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;;;;3;;;;3;;;;;;;1;;;;3;;1;1;1;7;;3;2;;8;;1;;;;;1;1;2;;2;;2;2;1;;2;;1;1;;2;1;;;;;;3;1;4;3;;;;
30796-4429;;8;1;;;;42;4;6;1;;40;59;9;1;1;4;1;3;19;;;2;;2;;1;;20;3;7;;1;;3;1;1;;;;;;;6;;2;;;;3;;1;1;4;;2;1;;;;;;;;7;;1;;;;;;1;1;;12;2;5;1;4;2;3;;;;10;2;;2;28;;;5;;;;9;5;3;;9;3;;2;2;2;;1;3;;5;4;;;1;1;1;;;;;;;1;;;;3;;1;1;;;;;;;;;1;;;;;;;
30816-5786;;;;;2;;21;3;2;;;7;17;;1;1;1;1;3;11;;;;;;;2;1;8;;3;;;;;;;;;;;;2;5;2;2;1;;;3;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;4;;;;;;;;;;;1;;1;;;;;;;;;;;;1;1;1;1;;;1;1;1;1;;2;1;3;;2;;;;;;;;;;;;;;;;;
32380-4224;;;1;;;1;32;3;1;;;19;26;4;1;1;7;1;7;22;;2;8;1;;;2;1;10;;3;;;;;3;1;;1;;;;1;7;1;3;1;1;;3;;1;;;;1;;;;;;1;;;7;1;3;2;1;;;;;;1;1;;1;;;;1;1;3;2;;;;;10;;;3;2;1;;;;;1;3;1;;2;;3;;2;3;3;1;;1;;;;;;1;1;;;;1;4;2;;6;;2;;1;;;;;;;;4;2;1;;;1;;
31423-4429;2;19;4;1;;1;63;5;13;3;8;69;78;4;1;1;5;1;5;33;1;;14;2;5;1;5;4;29;;10;;5;5;1;2;1;;;;3;1;;10;1;4;1;1;1;5;;1;;10;;3;1;;3;2;2;3;;;19;1;10;;;;;2;2;2;;7;;4;;;;;3;4;1;3;;;;29;1;;10;6;;;1;;;2;10;3;;;3;5;2;1;;;2;;;;1;1;1;;;;;1;;;2;8;3;12;3;4;;;;;8;;3;2;2;3;1;4;2;;;;
28381-4428;;;;;;;13;2;2;;;9;13;;3;3;3;3;4;8;;;5;;;;;;4;;3;;3;3;;;;;1;;;;1;7;1;4;2;;;2;1;1;;;;2;;;;;;2;1;;5;;4;1;1;;;;;;1;;;;;;;;1;1;1;1;1;1;;7;1;;4;3;1;1;;;;;2;1;;;;2;;;;;;;2;2;1;1;1;;2;;1;;;3;;2;1;4;1;2;;;;;;;;;;1;1;2;1;;;;
27889-5102;;;1;;;;20;2;;;;6;13;2;1;1;5;1;2;6;;;;;;;1;;8;;2;;1;;;;;;;;;;1;3;;;;;;2;1;1;;;;;;;;;;1;;;1;;;;;;;;1;;;2;;1;;;;1;;;;2;;;1;4;1;;1;;;;1;1;;;;;;;;;;;2;2;;;;;1;1;1;3;;;1;;;1;;1;;1;;;;;;;;;;;;;;;;;;;
27512-4224;;;;;;;27;3;4;1;;19;24;2;3;3;17;3;8;5;;;2;;;;;;16;;11;3;3;2;2;3;;;;;;;1;3;;;;;;3;;2;;3;;1;1;;;;;6;4;4;5;1;4;2;;;;1;1;1;;4;;2;;;;2;;2;;3;2;1;;16;4;2;3;2;1;;2;1;;1;4;1;2;;;;;;2;2;;;1;;2;2;2;2;1;1;1;2;;2;2;1;1;;;;;;;;;;;;;1;;1;;;;;
35962-5102;1;1;2;1;;1;45;3;1;;4;7;22;5;3;3;5;3;5;11;2;;4;1;;;9;1;10;1;3;1;;;2;;;;2;2;1;;;3;;1;;;;3;2;1;;1;;;;1;;;;3;;;1;;;;;;;;1;1;;3;;2;;1;1;1;;;;5;1;;1;6;2;;;;;;3;2;1;;2;;;2;1;2;2;;3;1;;;2;1;1;2;1;;1;1;1;1;;2;1;2;;4;;;;;;;4;1;;;;;;1;;;1;;
22566-4428;;;;;;;19;;1;;1;4;11;4;2;2;2;2;4;8;;1;3;1;;;2;1;6;1;3;1;;;1;;;;;;4;2;;2;;;;1;;;;;;;;1;;;;1;;2;;;;;;;;;;;;;;2;;1;;;;;1;;;1;;;;4;2;;;;;;2;1;;;2;;;;;1;;;;;2;;2;1;;;;;1;1;;1;1;2;;;;;;;;;;;1;;;;;;;2;2;;1;1;
35876-4912;;;1;1;4;;43;3;2;;;16;35;4;3;3;4;3;4;26;1;;2;1;;1;1;;15;3;5;;2;;2;;;1;2;;2;;;10;2;1;;;1;3;1;2;;1;1;1;;;;;;1;;;4;;;;;;;;1;;;8;2;5;;2;1;;;1;;10;3;;1;10;1;;2;;;;5;4;2;;1;;;;1;2;;;3;1;;;2;1;1;1;1;;1;1;1;1;1;2;;4;;3;;1;;;;;;;;;;1;;1;;1;;;
32107-5786;;;;;5;;24;4;6;2;;37;33;1;3;3;6;3;8;27;;;1;;;;;;10;;6;;1;;;1;1;;;;;;;6;1;1;;;;4;;3;;5;1;1;;;;;;3;1;;15;1;8;4;3;2;1;1;2;1;;5;1;2;1;;;1;3;;;1;;;1;18;;;6;4;1;1;2;;;;1;1;;;1;1;;1;;;1;1;1;;1;1;1;1;2;2;;;;2;;3;2;5;;;;;;;;;;;;1;;;;;;;
35880-6547;;;1;;2;;19;;;;3;3;6;;;;;;1;10;;;4;;;;1;;5;;1;;;;;;;;1;;;;;7;1;3;3;1;;;;;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;3;;3;2;;2;;1;;;;;;;;;;;;
35745-4912;;9;1;;2;;61;3;5;;1;34;53;;1;1;5;1;3;19;1;;5;;8;;8;2;33;4;13;3;5;4;1;2;1;1;2;;;;2;7;;;;1;;3;1;2;;2;;2;;;;;;10;3;2;19;4;12;5;4;3;2;2;2;;;4;2;1;;;;;;;;11;5;2;1;21;4;2;12;10;5;4;2;1;;;6;2;;;1;3;;3;;;;;;;;;;1;1;1;;2;1;1;;2;;1;;;;;;;1;;;;;3;2;;;;;;
31451-5102;;;;;;;25;3;;1;;9;14;;1;1;3;1;2;14;;;;;;;;;6;;3;2;;;;;;;;;;;;6;;1;;;;3;;2;;;;;1;;;;;6;;;2;1;1;1;;;;;;;;2;;2;1;;;;2;;;1;;;;8;5;;2;1;1;;1;1;;;1;1;;;;;;;;;;;;;1;1;1;2;;;1;;;1;;1;1;2;1;;;;;;;;;;;;;;;;;;
19653-6547;;;;;1;;15;2;1;1;;7;7;;3;3;3;3;5;9;;;;;;;;;3;;1;;;;;;;1;;;;;;4;1;1;;;;2;;1;;;;1;1;;;;;1;1;1;3;;;;;;;;;;;1;;1;;;;;2;;;;;;;3;;;;;;;1;1;;;;;;;1;;;;;;;;1;1;1;;;;2;1;1;1;;3;;2;;3;1;;;;;;;;;;;;;;;;;;
11823-6547;;;;;2;;23;3;1;;;13;22;;2;2;2;2;5;9;;;;1;;;;;10;;2;;1;;;4;2;;;;;;2;4;;1;;;1;3;2;;;;;1;;;;;;;;;5;;3;3;1;;;;;;;;;;;;;;1;;;4;1;1;;9;;;3;1;1;1;;;;;5;3;;;2;;;;;;;;1;1;1;2;1;1;1;;2;1;;2;1;;;1;;;;;;;;;;;;;;;;;;1;
35979-5102;;;2;1;;;21;3;;;;11;21;2;1;1;2;1;4;20;1;;4;1;;;1;;5;;2;;2;2;;;;;;;;;1;3;;1;;;;3;1;1;;;;;;;;;;2;;;7;2;6;5;4;3;3;1;1;1;;1;;1;1;;;;1;1;;3;;;;8;;;6;5;4;3;;;;;4;1;1;;4;;;;;;2;1;;;1;1;1;2;;;1;;;1;;3;;3;;2;1;;1;;;;;;;;;;;;;;
31458-4224;;8;4;7;;;33;3;1;1;;11;23;14;1;1;2;1;4;14;4;1;3;;;5;4;;2;;;;;;;;;;;;10;7;;3;1;;;1;;2;;1;;;;1;;;;;;;;;5;;5;5;4;2;1;;;;;2;;1;;;;1;;;;2;;;1;9;;;4;4;4;4;2;1;;;2;1;1;1;;;;;1;;9;5;1;;;;;;;1;;1;;;1;1;;2;;;;;1;;;;;;;;;1;;;;;
32082-4428;4;;;;;2;36;3;3;3;25;16;35;4;2;1;2;1;2;29;1;2;35;3;;;;;12;1;2;;;;;1;;1;4;4;1;;1;4;;1;;3;;3;;;2;1;1;2;1;1;2;5;4;;;;4;;2;1;1;1;1;;;;;7;;2;;1;;1;;;;1;1;;;8;;;1;;;;2;;;;8;2;1;1;3;14;12;1;1;1;2;;;;1;1;1;;;;;1;;1;;2;;12;1;4;2;1;1;;23;1;2;5;4;1;;1;;1;2;1;
31158-4224;2;2;7;12;;1;62;4;5;1;3;38;55;10;1;1;1;1;5;28;4;1;18;4;;9;7;1;21;3;5;;1;1;3;4;1;;2;;3;2;3;10;1;3;1;;;3;1;2;;3;1;1;1;1;;;;5;2;1;11;;3;2;1;;;1;2;;1;8;1;5;1;1;1;1;2;5;3;10;4;;1;24;1;;6;3;2;1;5;3;1;2;11;2;3;2;2;5;1;1;2;1;4;4;;;1;1;1;;;;1;2;2;1;;5;1;11;3;2;1;;4;;3;1;;;;4;2;;;1;;2;
31136-4428;;;;;;;61;3;3;;;39;48;1;2;2;2;2;6;25;1;;3;;;;2;1;32;;19;1;13;8;2;3;;1;;;;;4;9;;4;1;;;3;2;;;2;1;1;;;;;;9;4;4;26;5;16;5;3;2;2;;;;;4;;2;2;;;1;;;;4;2;1;1;27;2;1;17;11;4;3;2;;;;3;;;;2;1;;1;;;;;1;1;;;;;2;1;1;1;1;2;;1;;6;;3;1;;;;;;;;;2;1;;;;;;
31589-4224;3;;;1;;2;20;4;3;;8;9;23;12;2;2;4;2;3;16;1;1;10;2;;1;1;;7;2;1;;;;1;;;;2;2;3;2;1;6;;1;;1;;4;1;;1;2;;1;;1;;1;1;;;;1;;1;1;;;;;;;;1;1;1;;1;;2;;1;;5;1;;;3;;;;;;;1;1;1;;1;;;3;;6;5;1;1;1;10;2;;;1;1;1;;1;1;;;;2;;;;4;;1;;;1;1;8;1;;1;1;1;1;1;;;2;1;
32229-5102;3;;;;;;25;2;7;;2;38;26;;1;1;6;1;2;19;;;16;2;;;1;;4;1;2;;1;;;;;;;;;;;5;;2;;2;;2;;1;;7;4;;;;;1;;2;1;1;13;;6;3;2;;;;1;1;2;5;1;4;2;;;;1;10;1;2;1;1;;15;;;7;4;2;1;;;;4;2;1;;;;1;;;;;;;;;1;1;1;2;;;;;;;;3;1;7;;2;1;;1;;;;;;;2;2;4;3;;1;2;
31728-4224;7;21;12;7;;29;85;4;3;5;41;28;83;9;2;2;22;2;9;17;1;;59;10;9;7;1;;41;2;4;;;;1;6;1;1;20;13;3;2;5;7;;3;1;8;1;3;;;3;1;;1;5;6;14;6;3;3;;;8;1;1;;;;;;;;2;5;;2;;1;1;2;3;3;;4;1;;;9;1;;2;;;;1;1;1;1;14;1;1;2;3;43;25;2;2;2;5;;2;2;;2;;6;2;;1;1;;1;;5;;8;4;2;1;26;2;1;32;5;10;2;1;2;;7;4;4;3;2;
27547-4428;;;;;;;32;3;3;1;;24;25;2;1;1;3;1;6;16;1;;;;;;;;10;2;4;;2;2;;1;;;;;1;1;4;6;;3;1;;;3;;2;;2;2;1;1;;;;;2;1;1;9;;8;3;2;2;1;;;;;4;;4;1;1;1;;2;;;3;2;1;;11;2;1;4;3;;;2;2;1;;3;1;;1;1;;;;;;2;1;1;1;;;;;1;;;1;;1;1;5;;7;3;5;2;;;;;;;;;;;;;;;;
31144-4224;;;;;;;20;3;1;;3;1;17;;2;2;4;2;5;5;;;3;;;;2;;8;1;1;;;;;1;;;1;1;;;3;;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;3;;1;;1;3;2;;;;;;;;;;;;2;2;;1;1;1;3;1;;5;1;4;4;;;;3;;;;;;;1;;;;;
21206-5102;;3;1;1;;;51;4;3;;;42;35;3;1;1;3;1;4;23;1;;3;;1;;1;;13;;6;;2;1;;2;1;;1;;1;;1;10;1;2;;;;4;;2;;1;;1;;;;;;1;;;17;1;6;;;;;;2;1;;5;;1;;;;;1;1;;3;2;1;;16;;;6;2;;;;;;1;4;1;;;1;1;;;1;;;;;;1;1;1;;;;;;;1;;4;1;4;;;;;;;;;;;;1;1;2;2;;;;
31566-4428;;;;;;;10;1;;;;3;9;1;1;;;;1;9;;;3;;;;1;;2;;1;;;;;;;;;;;;1;5;1;1;1;;;1;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;1;;;;1;;;1;1;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;1;;2;;3;1;2;;;;;;;;;;;;;;;;;
30807-4429;;;1;;;1;61;3;4;1;;51;76;;2;2;6;2;4;19;1;;7;;;;2;1;41;16;14;6;2;;;2;;;2;;;;2;8;1;;;;;3;;2;1;3;2;1;1;;;;;7;6;3;3;;;;;;;;;;;15;1;11;;4;4;;;1;1;22;16;2;5;43;7;6;2;;;;12;10;4;1;2;;1;;;5;;2;;;;;;;1;2;1;;;;;2;;2;;3;2;2;1;1;;1;2;2;;;;;;4;1;2;1;;;;
31704-4428;1;;;;;2;37;3;11;3;1;34;43;10;1;1;4;1;4;21;1;2;18;5;;;4;2;15;2;5;;2;1;2;;;1;;;;;;7;1;1;;3;3;3;;2;;8;4;3;;;1;;;;;;14;;9;4;1;1;1;3;4;1;3;10;2;7;2;3;1;3;;5;2;6;4;1;;17;;;7;6;3;;7;3;;1;5;2;2;4;2;3;;3;2;1;8;2;1;;;;;1;1;1;;1;1;;;1;1;6;;2;1;;1;;;;;;;7;2;5;1;2;2;1;
27847-4428;;;;;;1;34;3;1;;1;5;19;;3;3;6;4;6;8;;1;8;;;;5;1;13;2;2;;;;1;;;;2;;;;2;5;1;;;2;;3;1;;1;;;1;;;;;;1;;;3;;2;1;1;1;1;;;;;1;;;;;;;;;;3;2;1;;3;;;1;1;1;1;1;;;;1;;;;1;5;;;;;;;2;2;1;3;1;;2;;2;2;1;3;;1;;2;;2;1;;3;1;1;;;;;1;;1;1;;;;
30696-4224;1;;;;;1;37;3;4;;1;16;29;;3;3;4;3;5;9;;;4;;;;3;;13;;6;;2;1;;;;;1;;;;;3;;1;1;1;;3;;1;1;3;1;1;;;;;;1;1;1;4;;1;;;;;1;1;1;1;2;;1;1;;;;;1;;;;;;8;;;2;1;;;;;;;1;;1;;;2;;2;;;;;1;1;2;3;2;;1;;;1;;1;;1;;2;1;1;;;;;1;;;;;2;;;;;;;
30869-4428;1;;;;;;100;3;5;7;;115;110;3;2;2;11;3;11;16;1;;47;4;;;2;1;61;;34;4;12;6;;5;3;;4;;;;4;7;1;2;;5;3;3;;3;;4;;1;4;;;;;21;11;6;49;8;29;19;8;5;4;5;6;2;5;8;;3;2;;;1;2;24;14;1;;;;66;6;2;20;9;4;2;1;;;16;9;5;2;1;1;8;;3;1;1;1;1;1;1;1;1;1;1;1;;1;4;1;2;;4;3;2;2;;;;9;5;;;;;;20;13;14;2;1;2;2;
31172-4428;2;;;;;2;68;4;5;2;4;27;38;2;3;3;6;3;8;21;1;;12;1;;;13;3;21;6;9;3;;;1;;;;2;;1;;4;9;1;4;3;3;;4;2;2;;4;;1;2;1;;;;14;4;3;4;2;;;;;;;;;;5;;5;1;1;1;1;;2;;11;2;1;2;16;5;2;1;;;;5;5;1;2;2;;;;;4;;2;2;;;;;;2;2;1;;;;;2;;3;2;1;;7;;4;3;;3;1;4;1;;;;2;;1;;;;;
30834-4224;1;;3;3;;;55;3;2;;;28;35;8;2;2;5;2;8;14;2;;7;2;;1;4;1;19;3;8;;1;;6;;;;1;;5;4;5;7;;2;;1;1;3;;2;;1;;1;;;;;;;;;7;;3;2;2;2;1;1;1;;;11;4;6;;5;4;;;;;10;5;2;1;17;;;4;2;1;1;10;5;4;;2;;;4;;3;;2;1;;6;3;;;2;2;2;;;;1;3;;2;1;;;3;;;;;;;;;;;;4;1;1;;1;1;;
31462-4224;;2;5;3;;1;33;4;4;1;3;26;31;5;3;3;3;3;6;22;1;;7;1;2;3;1;1;13;2;7;;5;2;;;;;2;2;;;1;7;1;3;;1;;4;;2;;3;;1;1;2;;1;1;2;;;14;;8;5;4;3;3;;;;1;;;;;;;2;;1;1;4;;;1;12;1;;6;3;2;2;;;;;1;;;1;2;3;2;;1;1;3;1;;;2;1;1;;1;1;;1;1;3;;6;1;5;1;;;1;1;;2;1;;1;1;1;;;;1;;;
31526-4224;;27;1;;;;12;2;1;;;6;17;;1;1;1;1;3;11;1;1;3;1;7;;1;;4;;1;;;;;2;;;;;;;1;2;;1;;1;;1;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;1;1;;;;;2;;;;;;;;;;1;3;;1;;1;;;;;;;;;;1;1;1;;;;;;;;;1;;4;1;1;;;1;;;;;;;2;1;;;;1;;
30987-4429;;;;;;1;31;3;3;4;;22;27;3;3;3;5;4;7;1;;;2;2;;;1;;13;;5;;1;;2;1;;;;;;;3;1;;1;1;;1;3;;1;;1;1;2;4;;;;;2;1;1;2;;1;;;;;;;;;4;;1;;;;1;;1;;;;;;8;;;1;;;;2;1;;;4;;1;2;;;;;2;1;2;1;3;1;;1;;1;3;2;;1;1;2;2;;;1;;1;;1;;;;;;;;;;;;2;1;1;
32029-4428;2;;;;;2;16;2;;;2;8;15;1;2;2;2;2;4;14;;1;5;7;;;3;;5;1;4;;1;;1;;;;1;;1;;1;1;;;;1;2;2;1;;;;;;;1;;;;;;;2;;1;;;;;;1;;;3;;1;;;;;;;;2;1;1;;8;;;2;1;;;2;1;;;1;;;1;2;3;1;;;;1;;;;1;2;1;;;;1;1;;2;;3;;4;1;1;1;;;;2;1;;;;;;;;2;1;1;
19930-4428;;;;;;;31;2;1;;;6;13;;1;1;1;1;5;21;;;4;;;;;;10;2;;;;;;;;;1;;;;2;10;;2;;;;2;1;1;;;;1;;;;;;2;2;;2;1;1;1;1;1;;;;;;;;;;;;;1;1;1;3;2;;;1;;;;;;;;;;1;;;;;;3;;1;;;;;;;1;1;1;;;;1;1;;1;;;;5;;;;;;;;;;;;3;1;2;1;;;;
31250-4224;;1;3;1;;;39;3;2;;;10;23;1;1;1;2;1;2;17;;;;;;1;3;;13;1;4;;1;;;3;1;1;;;;;;5;;1;1;;;3;;1;;1;;1;;;;;;1;1;;3;1;1;;;;;;;;;1;;;;;;;;;;4;;;1;7;;;2;1;;;1;;;;4;1;1;;2;;;;1;1;;;;;;1;;;;;;1;1;;;;;2;;1;;;;;;;;;;;;;;;;;
30800-4428;7;;;;;3;29;4;6;;35;17;36;11;1;1;1;1;2;27;;;37;5;;;2;1;8;;;;;;;1;1;2;3;3;5;3;2;10;2;1;;2;1;4;;1;2;4;;2;;5;3;10;8;3;;;2;;;;;;;;1;;;1;;;;;;;;4;;2;;;1;3;;;1;;;;;;;;2;1;;2;2;11;11;;;;7;1;;;1;1;1;;;;;;;1;;4;;2;;;;1;1;;31;3;3;9;7;;;1;;;5;2;
