aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
40890-6400;1;2;;;3;2;;41;1;5;1;23;19;;32;;4;6;;1;3;;;1;1;1;1;1;1;;1;1;;;;;;;;1;;;;1;1;;1;;;;1;;;1;;;11;1;7;1;;;;18;1;6;2;;;;;;;;1;;5;7;1;3;1;;2;1;;1;2;1;;1;14;4;2;;;1;;;;;1;1;1;;;;;2;4;;3;14;;3;2;7;2;1;1;1;2;2;4;3;1;1;;1;3;1;1;1;1;;2;2;1;;1;1;1;1;1;1;1;;;;;;1;;1;1;1;;;
28256-5061;;;;;4;1;;5;1;;;3;3;;4;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;1;;;;;;;;;;;;;1;;1;1;;;;1;1;;;;;;;;;;1;1;;;;2;1;1;;;;1;;2;1;1;3;;2;1;1;;;1;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30609-5061;;3;1;;;;;4;;;;;;;5;;;;;;;;;;;;;;1;1;1;;1;;;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17491-5799;1;3;2;;;;;9;;;;;3;;8;;;;;1;;;1;;;;;;;1;1;;;;;;1;;;;;;;;;;1;;;;;;;;;;2;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;1;;;;;;;1;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
36383-5490;;2;1;1;17;3;;23;;;;7;5;1;17;;1;1;;;3;;;;;;;;;;;;1;;;;;1;1;1;;1;1;;;;2;;1;;3;1;;;;;;;;;;;;9;;3;2;1;;;;;;;;;;1;;3;2;1;1;1;1;;;;;;5;;1;1;1;1;1;;;;;;;;1;1;;;;;;4;;;;2;1;1;1;;1;1;1;1;1;1;;;1;;1;1;1;;;;;;1;;;1;;1;;;;;;;;1;;;2;;;
35962-6895;2;4;;2;;1;;16;;;;1;1;;6;;1;1;;2;;;1;1;1;;;;;;3;;;1;1;1;;;1;;;1;1;;;;1;1;;;;;;5;1;;1;;1;;;;;5;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;1;1;;;1;1;1;1;1;1;1;;;;1;1;1;;;;;;;
24407-6030;3;13;3;;2;6;6;22;;;;5;6;1;17;1;4;16;;3;4;2;2;3;3;2;2;2;1;1;1;1;1;1;1;1;2;;;1;;;;;1;6;2;1;1;;;;4;;;;3;1;1;;;;;6;;3;;;;1;1;;;;;;;1;1;1;;;1;;;;;1;;;3;1;1;;;;;1;;;;;;;1;1;1;1;;;;6;;;;1;;;;;1;1;1;1;;;;;4;;1;;;;3;1;1;;4;1;1;1;1;1;1;1;1;;2;2;3;;;;2;1;1;
40647-6400;1;2;1;;;3;;31;1;;;5;6;;34;1;9;16;1;1;4;;;1;1;1;1;1;;;1;1;;;;;;1;;;;;;;;;1;;1;;2;;;1;;;1;;;;;;;8;1;3;1;;1;2;2;;;;1;1;;;;2;1;;;;;;2;1;;1;2;;;;;;;;;;1;1;1;;;;2;2;2;;1;12;;;;4;2;1;1;1;;;4;2;1;;1;2;7;1;3;2;1;1;3;;;;6;1;;2;1;1;1;1;;1;;;1;;;1;;;;
35754-5489;;1;;;;4;;28;1;;;2;5;;14;;2;7;;;7;2;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;4;;;2;1;;1;;1;;;;;5;;1;1;1;;;;;;;1;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;
30588-5490;;;;;;;;3;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41123-6400;;;;;;;;14;;;;5;1;1;9;3;4;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;5;;3;2;2;;1;1;1;;;;;;;;1;;;1;1;;;;;;;1;;;;;1;1;1;1;;;;;;;;;3;;;;5;;;;3;2;2;2;1;2;1;2;1;;;;1;2;;1;1;1;;;;;;1;;;1;;1;;;;1;;;;;;;;;;
22279-4114;1;6;5;;;;1;12;1;;;3;3;5;2;;;;;1;;;1;;;;;;;;;;;1;1;1;3;1;;;;;;;;;1;;5;3;;;1;1;;;1;;1;;;3;1;;;;;;;;;;;;1;;;2;;;;;2;1;1;;;;;;3;2;;;;2;1;;;;;;;;3;3;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
41483-6590;;6;;3;13;6;;72;;;2;15;24;;22;;12;12;2;;9;1;;;;;;;;;4;;1;;;;;;2;1;1;3;2;1;;;3;2;;;3;2;;7;5;1;20;;10;4;2;;;13;2;6;4;2;1;4;3;1;;;;;;3;;6;2;;2;2;;;2;2;;1;14;2;6;2;;2;2;2;1;;3;2;1;;;;1;2;3;1;1;11;1;1;;6;4;2;1;1;4;3;6;6;4;3;;3;11;1;7;5;3;1;4;2;1;;7;3;2;5;2;3;;1;1;1;;;;1;2;;7;;;
17228-6401;1;4;;;;;;13;1;2;;9;6;;9;;3;3;;1;;;;1;1;1;1;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;1;;;4;;4;2;;;;5;;3;3;1;;3;3;1;;;1;1;2;1;;3;2;1;1;1;;3;;1;;1;6;1;3;2;1;;;;;;;;;;;;2;;1;;1;4;2;;;3;1;;;;1;1;2;2;;;;1;3;2;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;;;;;1;;;;;;;
27482-5799;1;1;;;;;;6;;;;;2;;3;;;;;1;;1;1;;;;;;;;1;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;2;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;
36699-4917;;1;1;;;5;3;13;1;;1;4;9;2;16;;4;3;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;2;;;;2;;;;;;;5;;3;;;;;;;1;1;1;;;;;3;2;1;;;;;;;;;4;;3;2;1;;;;;;2;1;;;2;2;;1;2;;1;6;;1;1;3;1;1;;;;;;;;;;;3;;1;1;1;1;;;;;1;;;1;;1;;1;1;1;;;;;1;;;;1;
40217-6030;1;9;1;;1;1;;17;;;;;1;;17;;5;6;1;1;3;;1;;;;;;1;1;3;2;1;;;;1;;;1;;;;1;;;3;;;;;;;4;2;1;;;;;;;;8;;3;1;;;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;6;;;;4;1;;;;1;1;2;1;1;1;;1;4;;3;3;3;2;1;1;;;5;1;1;5;1;4;1;2;1;;1;1;;3;;;1;;;
31410-6400;1;3;;1;;1;;14;;;;2;4;;7;;1;1;;1;1;1;;1;1;;;;;;1;1;;;;;;;1;;;1;1;;;;1;;;;1;1;;1;;;2;1;1;;;;;3;;2;2;2;;1;1;;;1;;;;1;;1;;;;;;;;2;;;1;1;;;;;;;;;1;1;;;;;1;;1;;;4;;;;3;3;2;1;1;;;;;;;;;1;;1;1;1;1;1;;;1;1;1;;1;1;1;1;1;;;;;1;;;;;1;1;
41314-6401;1;8;1;;10;3;;46;;;;6;7;;26;;9;16;;1;17;7;;1;1;1;1;;1;;;;;;;;;;;;;;;2;;;5;;;;2;;;;;;1;;;;;;;15;1;2;;;1;3;2;1;6;1;;;;;;2;1;1;;;;1;2;;;;4;;;;;;;;;;1;;;;;;;;2;;1;5;;;;1;1;;;;;;1;1;;;;;9;1;2;;;;3;;;1;3;;;;;;;;;;;;1;2;;;8;7;3;
18444-4114;1;2;2;;;;;8;1;;;3;2;;8;;1;2;;1;1;;1;;;;;;;;;;;1;1;1;;1;;;;;;;;;2;;1;;;;;1;;;1;;;;1;;;3;;1;;;;;;;;;1;;;;;1;1;1;1;;;;1;1;1;;2;;1;1;1;1;;1;;;1;1;;;;;;1;;;;3;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;
40165-5799;1;11;7;7;15;10;;57;1;4;2;11;21;7;49;;11;15;2;1;15;6;;1;1;1;1;1;4;1;1;;2;;;;5;;5;9;4;5;5;;1;;2;;1;1;3;1;;4;;1;6;1;;;1;2;1;14;2;3;;;;1;;;3;2;1;;4;1;;3;2;;3;1;;1;;4;;2;4;;1;1;;1;;4;1;2;4;2;5;1;4;;3;;3;1;;16;1;;;9;4;1;1;1;4;2;6;3;1;;2;;8;;5;1;;;3;;;;8;2;;2;;;;;;1;;;1;3;1;2;3;4;5;
38994-5384;1;4;1;;22;3;1;22;1;1;2;5;10;3;8;;1;;;1;5;1;;1;;;;;1;1;;;;;;;1;;;13;6;;;2;1;;2;;;;2;;;2;;;7;2;2;1;1;;;6;1;1;;;;;;;1;;1;;1;1;;1;1;;3;1;1;;2;6;1;4;5;1;1;1;;2;;2;1;3;;;2;2;2;;;;1;1;1;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;;;;;
41179-7114;;4;1;2;1;4;;18;;;;;3;;6;;2;2;;;2;1;;;;;;;;;;;;;;;1;;2;;;2;2;;;;3;;1;1;3;1;;5;1;;1;;;;;;;3;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;2;;2;1;1;1;1;;;;2;1;;1;;1;;1;1;;;;;1;;;1;1;;
39095-6400;1;3;;1;;1;;28;;;;9;14;;20;;1;4;;1;1;;;1;1;1;1;1;1;;1;1;;;;;;;1;;;1;1;;;;2;1;;;1;1;;5;;1;7;2;4;;;;;9;;5;;;;;;;;;;;;1;;;;;;;;;1;4;;2;8;;;;;;;;;;;;;;;;1;;2;1;;8;;2;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;
